gameId,player,positionGroupType,shirtNumber,team
27815,"{'id': '20948', 'nickname': 'Terry Devlin'}",CM,24,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '4886', 'nickname': 'Georginio Rutter'}",AM,24,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '30332', 'nickname': 'Charlie Crewe'}",DM,50,"{'id': '55', 'name': 'Leeds United'}"
27815,"{'id': '9325', 'nickname': 'Callum Lang'}",AM,49,"{'id': '328', 'name': 'Portsmouth'}"
27815,"{'id': '9234', 'nickname': 'Gavin Whyte'}",RW,11,"{'id': '328', 'name': 'Portsmouth'}"
27816,"{'id': '6919', 'nickname': 'Timothy Dieng'}",GK,1,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '22711', 'nickname': 'Emmanuel Latte Lath'}",CF,9,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '10759', 'nickname': 'Lawrence Vigouroux'}",GK,22,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '8237', 'nickname': 'Liam Cullen'}",CF,20,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '6967', 'nickname': 'Riley McGree'}",LW,8,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '20919', 'nickname': 'Alex Gilbert'}",LW,14,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '7406', 'nickname': 'Azeem Abdulai'}",LW,47,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '33114', 'nickname': 'Daniel Watts'}",CM,43,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '9338', 'nickname': 'Hayden Hackney'}",CM,7,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '6981', 'nickname': 'Anfernee Dijksteel'}",RB,15,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '7400', 'nickname': 'Matt Grimes'}",CM,8,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '11011', 'nickname': 'Nathan Broome'}",GK,29,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '718', 'nickname': 'Aidan Morris'}",CM,18,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '33115', 'nickname': 'George McCormick'}",RCB,37,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '7405', 'nickname': 'Jay Fulton'}",CM,4,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '13314', 'nickname': 'Josh Thomas'}",CF,44,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '7048', 'nickname': 'Matthew Clarke'}",LCB,5,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '6984', 'nickname': 'Jonathan Howson'}",CM,16,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '9302', 'nickname': 'Harry Darling'}",LCB,6,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '21206', 'nickname': 'Zan Vipotnik'}",CF,9,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '20917', 'nickname': 'Rav van den Berg'}",RCB,3,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '7766', 'nickname': 'Josh Coburn'}",CF,19,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '7399', 'nickname': 'Ben Cabango'}",RCB,5,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '7397', 'nickname': 'Kyle Naughton'}",RB,26,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '22710', 'nickname': 'Lukas Engel'}",LB,27,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '20916', 'nickname': 'Tom Glover'}",GK,23,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '6933', 'nickname': 'Josh Tymon'}",LB,14,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '8307', 'nickname': 'Oliver Cooper'}",AM,31,"{'id': '227', 'name': 'Swansea City A.F.C.'}"
27816,"{'id': '6985', 'nickname': 'Isaiah Jones'}",RW,11,"{'id': '219', 'name': 'Middlesbrough'}"
27816,"{'id': '24394', 'nickname': 'Micah Hamilton'}",LW,17,"{'id': '219', 'name': 'Middlesbrough'}"
